id,annee,sexe,age,tranche_age,annee_naissance,categorie_socioprofessionnelle,region,niveau_etudes,origine,salaire_annuel_brut
1,2015,Femme,57,55-65,1958,Sans activité professionnelle,DOM-TOM,Bac+3 (Licence),Asie,26604
2,2015,Femme,63,55-65,1952,Sans activité professionnelle,Pays de la Loire,Brevet des collèges,DOM-TOM,23549
3,2015,Homme,83,65+,1932,Professions intermédiaires,Bretagne,Sans diplôme,Afrique du Nord,31993
4,2015,Femme,82,65+,1933,Sans activité professionnelle,Normandie,"Bac+2 (DUT, BTS)",Amérique et Océanie,29456
5,2015,Homme,61,55-65,1954,Retraités,Pays de la Loire,Brevet des collèges,Afrique du Nord,31650
6,2015,Femme,64,55-65,1951,Professions intermédiaires,Hauts-de-France,"Bac+2 (DUT, BTS)",France métropolitaine,23355
7,2015,Femme,36,35-44,1979,Agriculteurs exploitants,Île-de-France,"Bac+2 (DUT, BTS)",Afrique du Nord,22273
8,2015,Femme,82,65+,1933,Agriculteurs exploitants,Bretagne,CAP ou BEP,Afrique du Nord,25350
9,2015,Femme,37,35-44,1978,Retraités,Bourgogne-Franche-Comté,Bac+8 et plus (Doctorat),Afrique du Nord,31711
10,2015,Femme,51,45-54,1964,Sans activité professionnelle,Occitanie,Baccalauréat,France métropolitaine,26520
11,2015,Femme,35,35-44,1980,Cadres et professions intellectuelles supérieures,Occitanie,"Bac+2 (DUT, BTS)",Asie,29436
12,2015,Femme,57,55-65,1958,Cadres et professions intellectuelles supérieures,Hauts-de-France,Sans diplôme,Amérique et Océanie,24993
13,2015,Femme,84,65+,1931,Cadres et professions intellectuelles supérieures,Bourgogne-Franche-Comté,"Bac+2 (DUT, BTS)",Europe,24857
14,2015,Homme,25,25-34,1990,"Artisans, commerçants, chefs d'entreprise",Grand Est,"Bac+2 (DUT, BTS)",Europe,32893
15,2015,Homme,49,45-54,1966,Retraités,Auvergne-Rhône-Alpes,Bac+5 (Master),Asie,32657
16,2015,Homme,39,35-44,1976,Employés,Nouvelle-Aquitaine,CAP ou BEP,Europe,30240
17,2015,Femme,49,45-54,1966,Ouvriers,Occitanie,CAP ou BEP,Afrique du Nord,23073
18,2015,Homme,68,65+,1947,Agriculteurs exploitants,Île-de-France,Baccalauréat,Asie,26945
19,2015,Femme,45,45-54,1970,Cadres et professions intellectuelles supérieures,Nouvelle-Aquitaine,Sans diplôme,DOM-TOM,26631
20,2015,Femme,77,65+,1938,Professions intermédiaires,Normandie,Bac+3 (Licence),Afrique Subsaharienne,29432
21,2015,Homme,82,65+,1933,Cadres et professions intellectuelles supérieures,DOM-TOM,"Bac+2 (DUT, BTS)",Amérique et Océanie,32289
22,2015,Homme,78,65+,1937,Cadres et professions intellectuelles supérieures,Bourgogne-Franche-Comté,"Bac+2 (DUT, BTS)",Amérique et Océanie,30460
23,2015,Homme,20,18-24,1995,Ouvriers,Auvergne-Rhône-Alpes,CAP ou BEP,Asie,32721
