annee,Femme,Homme,écart_pourcentage
2015,26410.992248062015,32102.380165289258,17.72886585955101
2016,27124.91701244813,33104.10810810811,18.061779752934974
2017,28013.81568627451,33958.65714285714,17.506114660464625
2018,28801.515384615384,35181.833333333336,18.135262845079943
2019,29990.6935483871,35949.61111111111,16.575749718978912
2020,30513.15322580645,36967.0,17.45840012495888
2021,31351.29761904762,38647.92338709677,18.879735645732648
2022,31948.586776859505,38695.313953488374,17.43551476217097
2023,33177.587548638134,40161.9012345679,17.390396050071136
2024,34049.37448559671,40947.06225680934,16.845378864916178
2025,34511.84,41611.396,17.061566499715617
